Салон,Наименование группы,Кол-во (группа),Паспорт,Полный класс (доминирующий),Остаток по классу,Прогноз по классу (квартал),"Прогноз по классу (месяц1, месяц2, месяц3)",XYZ-категория,Рекомендация
Васенко,4(6000-9990) (ENNI MARCO) (ж),7,9,квадратные_пластик_черный_L_L_L,57,3,"3, 0, 0",X,Убрать / Перераспределить
Васенко,4(6000-9990) (ENNI MARCO) (м),11,9,квадратные_пластик_черный_L_L_L,57,3,"3, 0, 0",X,Убрать / Перераспределить
Васенко,4(6000-9990) (MEGAPOLIS) (м),4,5,квадратные_пластик_черный_L_L_L,57,3,"3, 0, 0",X,Убрать / Перераспределить
Васенко,4(6000-9990) (NEOLOOK) (м),9,9,квадратные_пластик_черный_L_L_L,57,3,"3, 0, 0",X,Убрать / Перераспределить
Васенко,4(6000-9990) (OU) (ж),18,21,квадратные_пластик_черный_L_L_L,57,3,"3, 0, 0",X,Убрать / Перераспределить
Васенко,4(6000-9990) (OU) (м),7,9,квадратные_пластик_черный_L_L_L,57,3,"3, 0, 0",X,Убрать / Перераспределить
Васенко,4(6000-9990) (SEEBLING титановые) (ж) ,15,14,квадратные_пластик_черный_L_L_L,57,3,"3, 0, 0",X,Убрать / Перераспределить
Васенко,4(6000-9990) (SEEBLING титановые) (м) ,9,9,квадратные_пластик_черный_L_L_L,57,3,"3, 0, 0",X,Убрать / Перераспределить
Васенко,4(6000-9990) (SFEROFLEX) (ж),3,9,квадратные_пластик_черный_L_L_L,57,3,"3, 0, 0",X,Убрать / Перераспределить
Васенко,4(6000-9990) (SFEROFLEX) (м),6,9,квадратные_пластик_черный_L_L_L,57,3,"3, 0, 0",X,Убрать / Перераспределить
Васенко,4(6000-9990) (VY) (ж),8,9,квадратные_пластик_черный_L_L_L,57,3,"3, 0, 0",X,Убрать / Перераспределить
Васенко,4(6000-9990) (WILLIAM MORRIS) (ж),18,18,квадратные_пластик_черный_L_L_L,57,3,"3, 0, 0",X,Убрать / Перераспределить
Васенко,5(10000-24990) (ANA HICKMANN) (ж),9,8,квадратные_пластик_черный_L_L_L,57,3,"3, 0, 0",X,Убрать / Перераспределить
Васенко,5(10000-24990) (BOSS/HUGO BOSS) (м),8,8,квадратные_пластик_черный_L_L_L,57,3,"3, 0, 0",X,Убрать / Перераспределить
Васенко,5(10000-24990) (CERUTTI) (м),8,8,квадратные_пластик_черный_L_L_L,57,3,"3, 0, 0",X,Убрать / Перераспределить
